arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.07778438925743103, -1.4929638367942353, 0.07771665254701787, 0.07789067804302974, 0.0778564065694809, 0.07781025022268295]","[-0.03804699331521988, -0.03656283766031265, -0.040889035910367966, -0.03467702120542526, -0.03670810908079147, -0.03545067459344864]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07710041105747223, -1.4937943381122132, 0.07692414919008428, 0.07717709123577876, 0.07722623646259308, 0.07715082913637161]","[-0.051435139030218124, -0.05624382942914963, -0.054596126079559326, -0.05187066271901131, -0.05210554972290993, -0.05068378150463104]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07607647776603699, -1.4947518420270463, 0.07597285905946904, 0.07619409143414302, 0.0762578696012497, 0.07618523389101028]","[-0.06827960908412933, -0.06789106875658035, -0.07011916488409042, -0.06971966475248337, -0.06986970454454422, -0.0704398974776268]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07528290897607803, -1.4954712700894852, 0.07517940202821904, 0.07544045030560298, 0.07550875842571259, 0.07543723285198212]","[-0.07890855520963669, -0.07747204601764679, -0.07910367846488953, -0.07802499830722809, -0.07871116697788239, -0.07773233205080032]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07466629892587662, -1.496118963961937, 0.07446557680238897, 0.07472674428906245, 0.07488490641117096, 0.07489013671875]","[-0.08791650831699371, -0.08541826903820038, -0.08611790835857391, -0.0876060426235199, -0.08869587630033493, -0.08676055818796158]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07367376238107681, -1.4970481035164376, 0.07360250154604131, 0.07372371732678218, 0.07390619069337845, 0.07387850433588028]","[-0.09708786010742188, -0.09633748233318329, -0.09753263741731644, -0.09580495208501816, -0.09885647147893906, -0.09938027709722519]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07245689630508423, -1.4982470136931916, 0.07234126726259404, 0.07252387582745357, 0.07264877110719681, 0.07264457643032074]","[-0.10784189403057098, -0.10866492986679077, -0.10842584073543549, -0.10930803418159485, -0.11337411403656006, -0.11097221821546555]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07112472504377365, -1.499635012154915, 0.070991341267721, 0.07107715188946528, 0.07122928649187088, 0.07127325236797333]","[-0.1193104088306427, -0.11895183473825455, -0.11994770914316177, -0.11747342348098755, -0.12401153147220612, -0.12385261058807373]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0696084126830101, -1.5011696454933663, 0.06945687929262334, 0.06955747186627192, 0.0696142390370369, 0.0696968212723732]","[-0.132324680685997, -0.13035264611244202, -0.13103586435317993, -0.12941348552703857, -0.134762242436409, -0.13546551764011383]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06791657954454422, -1.5028902304223557, 0.06782895723451787, 0.06785122930493159, 0.06801623851060867, 0.06803330779075623]","[-0.14313293993473053, -0.14296287298202515, -0.1424511969089508, -0.14000734686851501, -0.14422528445720673, -0.14639516174793243]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06571180373430252, -1.5049763706377526, 0.06573182741274053, 0.06567756711926265, 0.06586741656064987, 0.0659179762005806]","[-0.1563512086868286, -0.15763534605503082, -0.15621145069599152, -0.1523924618959427, -0.1593223661184311, -0.161457359790802]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06376639008522034, -1.5069802042892952, 0.06373244920839483, 0.06376485406842036, 0.06385371088981628, 0.0638614222407341]","[-0.16895343363285065, -0.1691836416721344, -0.1695493757724762, -0.164850115776062, -0.1716567724943161, -0.17227604985237122]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06170186027884483, -1.5090978902629395, 0.06162006059755498, 0.0616263586231689, 0.0617496483027935, 0.06173147261142731]","[-0.18002164363861084, -0.18169066309928894, -0.17726801335811615, -0.18119701743125916, -0.1801130771636963, -0.18190516531467438]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.058301202952861786, -1.5125239354423066, 0.05821592012514287, 0.0582541662403564, 0.05821923166513443, 0.05822497978806496]","[-0.1989288479089737, -0.19779330492019653, -0.19462768733501434, -0.19777552783489227, -0.19746050238609314, -0.20113568007946014]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.054468583315610886, -1.5163054664484044, 0.05454618135561162, 0.05455581724133296, 0.05439840257167816, 0.05441119521856308]","[-0.21869392693042755, -0.216637521982193, -0.21807700395584106, -0.219772070646286, -0.21545831859111786, -0.21639449894428253]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.052738480269908905, -1.5181162294796486, 0.05273658434023076, 0.05283920347180171, 0.05260369926691055, 0.05261971801519394]","[-0.22650541365146637, -0.2222570925951004, -0.22461318969726562, -0.22903242707252502, -0.22512435913085938, -0.2234668880701065]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.050367727875709534, -1.5204418201795598, 0.05041104951967412, 0.05054764329876704, 0.0503750704228878, 0.05031001195311546]","[-0.23561343550682068, -0.23602591454982758, -0.23650947213172913, -0.2421005666255951, -0.23536010086536407, -0.23232796788215637]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.04595225304365158, -1.524888539021351, 0.0459979216205042, 0.04599122583355708, 0.045917849987745285, 0.04587429389357567]","[-0.25701436400413513, -0.25321075320243835, -0.2561437487602234, -0.26036739349365234, -0.2544732093811035, -0.2521086633205414]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.037774186581373215, -1.5327188682607193, 0.037941757832662404, 0.03770737230267329, 0.03788764774799347, 0.037923239171504974]","[-0.27758893370628357, -0.24846135079860687, -0.2633918821811676, -0.2718811333179474, -0.27980837225914, -0.27896276116371155]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.03346641734242439, -1.5369398605874558, 0.03370982805360967, 0.03342501699414058, 0.03358915448188782, 0.03369792550802231]","[-0.2566625475883484, -0.27149680256843567, -0.2643626630306244, -0.2541215419769287, -0.2615060806274414, -0.26233646273612976]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
