arm_idx,step,actual_q,actual_qd,target_q,expected_q,applied_torque,loop_time,robot_mode,safety_mode
0,-1,"[0.032946910709142685, -1.537913267766573, 0.03280765215028936, 0.03306691228833003, 0.0330667607486248, 0.03302187845110893]","[-0.04486570134758949, -0.04644190892577171, -0.045464638620615005, -0.04032949358224869, -0.042326536029577255, -0.040778566151857376]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7728703969675232, -15.076110628533968, -10.073440613606945, -4.062965496860368, 4.202140721804973, -0.18869432233420863]",0.002,7,1
0,-1,"[0.03216572105884552, -1.5388068494251748, 0.03194791475404912, 0.03223256647076411, 0.032281842082738876, 0.03221668675541878]","[-0.05923720449209213, -0.05973927676677704, -0.06230981647968292, -0.05619441717863083, -0.05717583745718002, -0.057086504995822906]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.768743867168409, -14.990472579005951, -10.028524316600857, -4.061849044590121, 4.201782192133157, -0.18873977720164895]",0.002,7,1
0,-1,"[0.03101908415555954, -1.5400642373463889, 0.030689064656392873, 0.031050367946289015, 0.031102359294891357, 0.031026417389512062]","[-0.07644046097993851, -0.07260538637638092, -0.07290016114711761, -0.0768120288848877, -0.07831159234046936, -0.07703341543674469]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7628427855835351, -14.86894714152875, -9.964459814923332, -4.060250968764986, 4.201385861919578, -0.18881038490400337]",0.002,7,1
0,-1,"[0.029540961608290672, -1.5413488310626526, 0.029352490101949513, 0.02966265260662837, 0.029721802100539207, 0.029632510617375374]","[-0.0930851474404335, -0.08804700523614883, -0.08856561034917831, -0.09181546419858932, -0.09349293261766434, -0.0933106318116188]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7566856101164872, -14.741277213346187, -9.897753291384536, -4.058343747458044, 4.200820589648083, -0.1888854378823311]",0.002,7,1
0,-1,"[0.027985647320747375, -1.5429554407349606, 0.02777749696840459, 0.0280042129703979, 0.02794623374938965, 0.027961919084191322]","[-0.1104002296924591, -0.10251939296722412, -0.10316476970911026, -0.11055057495832443, -0.10926796495914459, -0.10869292169809341]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7495116244365603, -14.579266064597666, -9.812457607849932, -4.056044078748689, 4.20010854338225, -0.18898091422928193]",0.002,7,1
0,-1,"[0.027082374319434166, -1.5438340169242402, 0.02690297762026006, 0.027053757304809523, 0.026984304189682007, 0.027009019628167152]","[-0.11675527691841125, -0.11253818869590759, -0.11189983785152435, -0.11749112606048584, -0.11594235897064209, -0.11769823729991913]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7457393925327542, -14.496981243813368, -9.76847164953052, -4.054752377381119, 4.199631071498322, -0.18903119044218916]",0.002,7,1
0,-1,"[0.02511507086455822, -1.5457358074239274, 0.024991814290181935, 0.02506820737805171, 0.025000393390655518, 0.024969596415758133]","[-0.13422317802906036, -0.12820182740688324, -0.12822909653186798, -0.13270264863967896, -0.13198691606521606, -0.1343381255865097]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7374436299696696, -14.295038737044178, -9.665298590589426, -4.051966819651128, 4.1985058814253975, -0.1891495180909735]",0.002,7,1
0,-1,"[0.020334912464022636, -1.5506236118129273, 0.02031881013979131, 0.02040819704022212, 0.020252617076039314, 0.02021506242454052]","[-0.1648484468460083, -0.16092462837696075, -0.1627303808927536, -0.16826415061950684, -0.1618073582649231, -0.16160331666469574]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7195703514323915, -13.816012002974515, -9.417185350953243, -4.045260115605578, 4.195247841723465, -0.18943816140209394]",0.002,7,1
0,-1,"[0.017512742429971695, -1.5532799188843747, 0.01761800447572881, 0.01765696584667964, 0.017491253092885017, 0.017476744949817657]","[-0.18262842297554016, -0.17574015259742737, -0.17952729761600494, -0.18340197205543518, -0.18057659268379211, -0.17910534143447876]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7104359672490161, -13.545138481255325, -9.273780339946416, -4.041417721631417, 4.193133120287887, -0.18961277163556095]",0.002,7,1
0,-1,"[0.014257794246077538, -1.5561671632206817, 0.014548126851217091, 0.014470382327697706, 0.01432567834854126, 0.014289293438196182]","[-0.17205052077770233, -0.1411571204662323, -0.15875382721424103, -0.1683618575334549, -0.17291520535945892, -0.16940093040466309]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7855930163418197, 2.6166655277338275, 0.019781419324211402, -3.4553703624297034, 4.538898497680101, 0.2715091378782398]",0.002,7,1
0,-1,"[0.012560570612549782, -1.557803777312376, 0.012875858937398732, 0.012712760562560987, 0.01272620540112257, 0.01271938905119896]","[-0.15858697891235352, -0.1587424874305725, -0.16348108649253845, -0.16724400222301483, -0.15692991018295288, -0.1583186239004135]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7783413046665522, 2.793540528721815, 0.10977764982558669, -3.4583516439792517, 4.542620920476274, 0.271388002790453]",0.002,7,1
0,-1,"[0.011365140788257122, -1.5589449063739558, 0.011716667805806935, 0.011499329204223585, 0.01148080825805664, 0.011495989747345448]","[-0.1492728441953659, -0.1514132022857666, -0.1514243632555008, -0.1499980092048645, -0.15429289638996124, -0.15322592854499817]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7733412347775566, 2.9138203956730484, 0.1703413434924297, -3.460550809189024, 4.545281481944237, 0.2713006683170543]",0.002,7,1
0,-1,"[0.010136701166629791, -1.560035092090704, 0.01053935686220342, 0.01026706277813716, 0.010367019101977348, 0.010344970971345901]","[-0.14450058341026306, -0.14067955315113068, -0.1450231671333313, -0.1453953981399536, -0.14501313865184784, -0.14602090418338776]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7686884405643364, 3.031753508011235, 0.23044691985028698, -3.462645000130677, 4.547759144358274, 0.2712142939130164]",0.002,7,1
0,-1,"[0.008695452474057674, -1.5613686696491023, 0.00909597078432256, 0.008960290546081495, 0.008965079672634602, 0.00895829126238823]","[-0.1332903504371643, -0.12917408347129822, -0.1328076273202896, -0.13090375065803528, -0.13638193905353546, -0.13532330095767975]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7635503876109444, 3.1656194825420645, 0.297677740007515, -3.465083330725612, 4.550552649879567, 0.2711115389790358]",0.002,7,1
0,-1,"[0.006558750290423632, -1.5636033339290698, 0.0068543593036096695, 0.0065650182911376476, 0.006717043463140726, 0.006690126843750477]","[-0.11661477386951447, -0.11704891175031662, -0.11884403973817825, -0.11650773882865906, -0.11732533574104309, -0.11792819947004318]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7553860308722982, 3.398762016066783, 0.41558142277176735, -3.4689990606734944, 4.554898880347524, 0.2709367251090372]",0.002,7,1
0,-1,"[0.003666570642963052, -1.566595454034843, 0.003928963338033498, 0.0038028198429564952, 0.0038967966102063656, 0.003870050422847271]","[-0.0872063860297203, -0.09487936645746231, -0.09122750163078308, -0.08801187574863434, -0.08841797709465027, -0.09146518260240555]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7457034055059453, 3.7094511574538376, 0.5718771338506461, -3.4739270461343037, 4.560062920602766, 0.2707025153330437]",0.002,7,1
0,-1,"[0.002418767660856247, -1.5680370142548163, 0.0025404135333459976, 0.0024822193333129405, 0.0025507528334856033, 0.0025626816786825657]","[-0.06816128641366959, -0.08049651235342026, -0.07550942897796631, -0.06911958754062653, -0.07156822830438614, -0.07249381393194199]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7416398640404487, 3.853954132223911, 0.644710931087384, -3.4761100499026405, 4.562230226164824, 0.2705944010094225]",0.002,7,1
0,-1,"[0.001665016752667725, -1.5688980034650122, 0.0017159620868127945, 0.0017494398304442882, 0.0017901527462527156, 0.0018129028612747788]","[-0.05789834260940552, -0.07002619653940201, -0.0614083930850029, -0.057897429913282394, -0.06146087870001793, -0.06146964430809021]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7391937613114163, 3.9481805421705145, 0.6908910239976944, -3.477472832871761, 4.563547754476039, 0.2705251080202663]",0.002,7,1
0,-1,"[0.0010900661582127213, -1.5696161848357697, 0.0010598341571252945, 0.0011007028767089366, 0.001146990805864334, 0.0011368074920028448]","[-0.0464775487780571, -0.05438418313860893, -0.04812018573284149, -0.04748985171318054, -0.04837803915143013, -0.0492631271481514]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7372708599862918, 4.026865151956892, 0.7279940478630971, -3.47859329379604, 4.564597723518041, 0.27046968693952467]",0.002,7,1
0,-1,"[0.0006792113999836147, -1.570063130264618, 0.0006678740130823257, 0.000717921847961378, 0.0006645210087299347, 0.0006928987568244338]","[-0.035567060112953186, -0.0399954579770565, -0.03895965963602066, -0.038094233721494675, -0.03825072944164276, -0.03817998245358467]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7360504136511097, 4.073692569112044, 0.7515860794020668, -3.479286200373074, 4.565249113691841, 0.2704317912122914]",0.002,7,1
0,-1,"[0.0003025531768798828, -1.570529533583187, 0.000226322804586232, 0.0003170210072021007, 0.000354766845703125, 0.00032563877175562084]","[-0.025310134515166283, -0.026827963069081306, -0.02650735154747963, -0.02614622376859188, -0.025514675304293633, -0.025786826387047768]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.734989697922344, 4.115936680889824, 0.7737085007628051, -3.479910460718521, 4.5658173116490985, 0.27039849783736347]",0.002,7,1
0,-1,"[7.91561760706827e-05, -1.5707515937140961, 2.271333803349762e-05, 5.285322155756944e-05, 3.772131458390504e-05, 2.1595440557575785e-05]","[-0.008582493290305138, -0.011140876449644566, -0.011042997241020203, -0.009954654611647129, -0.01026578713208437, -0.009353778325021267]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.7342397958082798, 4.146150875128924, 0.7892321263830331, -3.480357944404557, 4.56621156131961, 0.2703721375763202]",0.002,7,1
