arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.06839306652545929, -1.5023594361594697, 0.06836015382875615, 0.06845061361279292, 0.0685054361820221, 0.06838881969451904]","[-0.04222980514168739, -0.041281912475824356, -0.042760156095027924, -0.03668723255395889, -0.03978303447365761, -0.03966285660862923]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0676821619272232, -1.503073164527752, 0.06763583818544561, 0.06779675065960689, 0.06780889630317688, 0.06776341795921326]","[-0.05504259839653969, -0.05452292039990425, -0.05687256529927254, -0.05266176536679268, -0.055045321583747864, -0.053032148629426956]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06682896614074707, -1.503933237200119, 0.06676608720888311, 0.06691472112622066, 0.06701075285673141, 0.06694815307855606]","[-0.06791971623897552, -0.06913822144269943, -0.0682888776063919, -0.06808172911405563, -0.06953561305999756, -0.0684550479054451]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0660865306854248, -1.504660242503025, 0.06601602235902959, 0.06615225851025386, 0.06621652841567993, 0.06622859090566635]","[-0.07813391089439392, -0.07757483422756195, -0.07893658429384232, -0.07821033895015717, -0.07909677922725677, -0.07993083447217941]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06495480984449387, -1.5056840118816872, 0.0649340788470667, 0.06511108457531734, 0.06518733501434326, 0.06517616659402847]","[-0.09257083386182785, -0.08823402971029282, -0.08952099084854126, -0.09024816751480103, -0.09103135019540787, -0.09062351286411285]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0633319765329361, -1.5072333303144951, 0.06334096590151006, 0.06347159921612544, 0.06350668519735336, 0.06353217363357544]","[-0.10612782090902328, -0.10428973287343979, -0.10709533095359802, -0.10766532272100449, -0.10810226202011108, -0.10884964466094971]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06250282377004623, -1.508137197499611, 0.06247836748232061, 0.0625801521488647, 0.06258198618888855, 0.06258436292409897]","[-0.11131658405065536, -0.11308777332305908, -0.11262538284063339, -0.11357492208480835, -0.11729501187801361, -0.11604712903499603]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06129172071814537, -1.509387483154871, 0.06122810045351201, 0.06140534460034175, 0.06141471117734909, 0.061344876885414124]","[-0.12315189838409424, -0.12349369376897812, -0.1201404333114624, -0.12439607083797455, -0.12185284495353699, -0.12306635081768036]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.05658862739801407, -1.5142331172576924, 0.05655271211733037, 0.0566677290150146, 0.05649339780211449, 0.05647587403655052]","[-0.15814444422721863, -0.15640804171562195, -0.1547890603542328, -0.1571381837129593, -0.15601348876953125, -0.15698744356632233]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.05138859152793884, -1.519338895832636, 0.051368538533346, 0.05150405942883296, 0.05131734162569046, 0.05122921243309975]","[-0.18779197335243225, -0.1853138953447342, -0.18834179639816284, -0.19289252161979675, -0.1876792162656784, -0.18533459305763245]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.04779312014579773, -1.522901864056923, 0.047892395650045216, 0.04796354352917476, 0.04778606817126274, 0.0477413684129715]","[-0.204945906996727, -0.20499667525291443, -0.20587709546089172, -0.21132025122642517, -0.2053498923778534, -0.20471416413784027]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.046065546572208405, -1.5245939542404194, 0.04620391527284795, 0.04617754995312495, 0.04616711288690567, 0.046018119901418686]","[-0.21465739607810974, -0.2123371958732605, -0.21501803398132324, -0.21771952509880066, -0.21388450264930725, -0.21079882979393005]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.04298918694257736, -1.5276723031750699, 0.04309207597841436, 0.04300527154888911, 0.04307692497968674, 0.04302871972322464]","[-0.22847090661525726, -0.23138335347175598, -0.22900696098804474, -0.22953873872756958, -0.2299179583787918, -0.22820910811424255]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.04064689576625824, -1.5299619001201172, 0.04074746767152959, 0.04062037050213618, 0.040726833045482635, 0.04074235260486603]","[-0.23967225849628448, -0.239772230386734, -0.23927608132362366, -0.24114952981472015, -0.2408963143825531, -0.2420971393585205]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.03822045028209686, -1.5323460300317784, 0.03828174272646123, 0.03809885560955806, 0.0382397435605526, 0.03827443718910217]","[-0.25020313262939453, -0.24979862570762634, -0.25034257769584656, -0.24827618896961212, -0.2530547082424164, -0.2523341774940491]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.03294764831662178, -1.537494384949543, 0.03305417696108037, 0.0328717666813354, 0.03303869813680649, 0.03308197110891342]","[-0.2615794241428375, -0.22384829819202423, -0.2419271171092987, -0.25035610795021057, -0.2565082609653473, -0.258354514837265]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.030964648351073265, -1.5393968795290967, 0.031110111867086232, 0.030868812198303175, 0.03107759729027748, 0.031059568747878075]","[-0.24902598559856415, -0.23150940239429474, -0.24007102847099304, -0.24271757900714874, -0.24914535880088806, -0.24924315512180328]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.028079276904463768, -1.5425019220313807, 0.028127018605367482, 0.028015418643615675, 0.028039364144206047, 0.028118493035435677]","[-0.23610281944274902, -0.24189385771751404, -0.2381652593612671, -0.23516197502613068, -0.23624396324157715, -0.2378668487071991]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.025428814813494682, -1.545363449757435, 0.025394741688863576, 0.025340481395385694, 0.02528013102710247, 0.025389740243554115]","[-0.22471091151237488, -0.2292533963918686, -0.22392427921295166, -0.22307288646697998, -0.2241324484348297, -0.22730818390846252]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02282523550093174, -1.5480715700289984, 0.022814575825826466, 0.022888823146484327, 0.022650808095932007, 0.022705717012286186]","[-0.21337667107582092, -0.21438540518283844, -0.21329210698604584, -0.21337369084358215, -0.21096168458461761, -0.2129296213388443]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02033166214823723, -1.5505704426071425, 0.020351711903707326, 0.020411654109619093, 0.020203465595841408, 0.020206626504659653]","[-0.2017327845096588, -0.20094449818134308, -0.19964678585529327, -0.20513422787189484, -0.19919922947883606, -0.199641615152359]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.017969757318496704, -1.5529300489327689, 0.018024746571676076, 0.01807682096447749, 0.017893915995955467, 0.017923543229699135]","[-0.190574511885643, -0.19019213318824768, -0.1917857676744461, -0.19352255761623383, -0.18931668996810913, -0.18958976864814758]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.015758877620100975, -1.5550640889308234, 0.015857521687642873, 0.015805287952087355, 0.015763064846396446, 0.015683500096201897]","[-0.17903022468090057, -0.1759638488292694, -0.17894573509693146, -0.18033909797668457, -0.17823827266693115, -0.17661474645137787]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.012657898478209972, -1.5580291871777554, 0.012861076985494435, 0.012714906329772901, 0.012731174007058144, 0.01274036057293415]","[-0.16039510071277618, -0.15844054520130157, -0.16245456039905548, -0.1634148359298706, -0.1588195413351059, -0.15935342013835907]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.010844608768820763, -1.5598034432953973, 0.01102000871767217, 0.010915442104003859, 0.01089924294501543, 0.01092192716896534]","[-0.14666354656219482, -0.14862309396266937, -0.14786411821842194, -0.14885011315345764, -0.15056023001670837, -0.14947715401649475]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.00832435954362154, -1.5622808637893577, 0.008423630391256154, 0.00832156717266841, 0.008417707867920399, 0.008448070846498013]","[-0.1306401640176773, -0.1319737732410431, -0.13218224048614502, -0.12857544422149658, -0.13205695152282715, -0.1325143724679947]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.006902587600052357, -1.563776373197772, 0.006959263478414357, 0.006789489383361769, 0.006931585259735584, 0.006944752298295498]","[-0.11796149611473083, -0.1210477277636528, -0.12101364135742188, -0.11780569702386856, -0.11980757117271423, -0.12036435306072235]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0049122413620352745, -1.5657322488589962, 0.004884068165914357, 0.00489000856365962, 0.004975004121661186, 0.005058532115072012]","[-0.09911467134952545, -0.1050979346036911, -0.10217097401618958, -0.09744498878717422, -0.10113504528999329, -0.10297027230262756]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.003625300247222185, -1.567059479686879, 0.0036199728595178726, 0.0035785871693114757, 0.0036724936217069626, 0.0037017574068158865]","[-0.08599255234003067, -0.0887565016746521, -0.08611799031496048, -0.08257977664470673, -0.08795657753944397, -0.08711041510105133]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0026138012763112783, -1.5680387388313939, 0.0025818983661096695, 0.002624197597167921, 0.002710835775360465, 0.0027888298500329256]","[-0.07262618839740753, -0.07660851627588272, -0.07509223371744156, -0.0713232010602951, -0.07379376888275146, -0.07444463670253754]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0018535879207774997, -1.568946150746644, 0.0017955938922327164, 0.0018725830265502452, 0.0019190029706805944, 0.001935421023517847]","[-0.0613505057990551, -0.0669657289981842, -0.06320744007825851, -0.05955992639064789, -0.06487210094928741, -0.06128980219364166]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0008981347200460732, -1.5699311697720368, 0.000905338917867482, 0.0009345251270751476, 0.0009918574942275882, 0.0009732961771078408]","[-0.043094370514154434, -0.04791006073355675, -0.04498313367366791, -0.04526413604617119, -0.045600928366184235, -0.04570211097598076]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0004825592041015625, -1.5704293575293669, 0.0003464857684534195, 0.00046734392132563585, 0.0005303590442053974, 0.0005124249728396535]","[-0.03126789256930351, -0.034147586673498154, -0.03259948641061783, -0.032247159630060196, -0.032086774706840515, -0.03318007290363312]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
