arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.006126228963033498, -1.5768243275084437, -0.006058800965547562, -0.00620932996783452, -0.006168190632955373, -0.006135288869039357]","[0.04515669122338295, 0.048642683774232864, 0.047169510275125504, 0.04827798157930374, 0.04532204195857048, 0.04739316552877426]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.005335632954732716, -1.5758663616576136, -0.005156304687261581, -0.005382851963378954, -0.005309883748189748, -0.005284611378804982]","[0.0589163713157177, 0.06670338660478592, 0.06175440177321434, 0.06338701397180557, 0.060363367199897766, 0.06267443299293518]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.004498783742086232, -1.5750466785826625, -0.004356114659458399, -0.004472569828369188, -0.0043824354754846695, -0.004432980214254201]","[0.07397746294736862, 0.07257823646068573, 0.07424670457839966, 0.07647430151700974, 0.07622858881950378, 0.07472110539674759]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0035403410540979507, -1.5740987263121546, -0.003424864262342453, -0.0035177034190674306, -0.0033858458148401382, -0.003370110188619435]","[0.08783093839883804, 0.07934506982564926, 0.0850713923573494, 0.0861767902970314, 0.08509638160467148, 0.08788961172103882]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0025294462787073257, -1.5732323131956996, -0.002410151297226548, -0.002454833393432665, -0.0023186842547815445, -0.0023520628558557632]","[0.06919234991073608, 0.058441586792469025, 0.06881430745124817, 0.06815017759799957, 0.07000521570444107, 0.0694318562746048]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0012133757220667007, -1.5718361339964808, -0.001032792148180306, -0.0011778634837646962, -0.0010126272784631851, -0.0010517279254358414]","[0.048457175493240356, 0.05022305250167847, 0.050785209983587265, 0.04936882108449936, 0.045138247311115265, 0.0472833476960659]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0008743445025842789, -1.5715300045409144, -0.0006755986250936985, -0.000797585850097704, -0.0007670561419885757, -0.0007055441485803726]","[0.03974977880716324, 0.04044654592871666, 0.04227282851934433, 0.04070214927196503, 0.03897181898355484, 0.038616400212049484]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00032836595644170075, -1.5709783039488734, -0.00015584350330755115, -0.00023849428210453993, -0.000184361134664357, -0.000211064015523732]","[0.02268354408442974, 0.021680496633052826, 0.02199496701359749, 0.022350605577230453, 0.020882362499833107, 0.020774085074663162]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00011426607240849762, -1.5707622927478333, 6.41981707971695e-05, -6.826341662602431e-05, -2.175966371709137e-05, 0.0]","[0.00341872894205153, 0.003153064986690879, 0.002065810142084956, 0.0018572842236608267, 0.0005844416446052492, 0.0005743516376242042]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00011998811830693512, -1.5708829365172328, -2.9980063118273392e-05, -7.505834613041884e-05, -2.366701234990387e-05, -3.987947572881012e-05]","[0.0002276094601256773, -0.002789462450891733, -0.0026852432638406754, 1.3992734011480934e-06, -6.59204673070235e-08, -0.0005315436865203083]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00013810793031865387, -1.5709225140013636, -4.193425411358476e-05, -8.519113574223525e-05, -8.184114565068512e-05, -3.5587941304981996e-05]","[2.3891785919674705e-19, -0.001824473380111158, -0.0016398433363065124, -0.00020793845760636032, -2.1774407968547832e-17, -9.445624164072797e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
