arm_idx,step,actual_q,actual_qd,target_q,expected_q,applied_torque,loop_time,robot_mode,safety_mode
0,-1,"[0.07004816085100174, -1.5007645276239892, 0.06999713579286748, 0.07014517366375728, 0.07020130008459091, 0.07019075751304626]","[-0.03935978561639786, -0.03934857249259949, -0.041326433420181274, -0.035562969744205475, -0.03690290451049805, -0.0360969640314579]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.8503986883732921, -18.860722726070996, -12.012924829680127, -4.04953888121176, 4.111461339506779, -0.18740912436662685]",0.002,7,1
0,-1,"[0.06936802715063095, -1.5016050648740311, 0.06916743913759404, 0.06941513597454829, 0.06950061023235321, 0.06942646950483322]","[-0.05349838733673096, -0.05685943365097046, -0.056170545518398285, -0.05113259702920914, -0.0511353462934494, -0.05199611932039261]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.8447576717014271, -18.7831952242532, -11.97330386420513, -4.048733811300723, 4.11222126445351, -0.18743390890381764]",0.002,7,1
0,-1,"[0.06692298501729965, -1.5040414866856118, 0.06674319902528936, 0.0670129495808105, 0.06714563071727753, 0.06712069362401962]","[-0.08775978535413742, -0.08470764011144638, -0.08498824387788773, -0.08449964225292206, -0.08885400742292404, -0.08717900514602661]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.8270656383843922, -18.544499191040096, -11.847806846640479, -4.046107812637156, 4.114773872135983, -0.18751769334125912]",0.002,7,1
0,-1,"[0.0650734156370163, -1.5057233434966584, 0.06500369707216436, 0.06518427907910151, 0.065302774310112, 0.06525972485542297]","[-0.10340821743011475, -0.10177481919527054, -0.10209574550390244, -0.10456957668066025, -0.10667692124843597, -0.1055266484618187]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.8148657365875169, -18.37707023003966, -11.75778009299991, -4.044009105925348, 4.1166109334093814, -0.18757945421481104]",0.002,7,1
0,-1,"[0.06127277761697769, -1.5095450033298512, 0.061165634785787404, 0.06134264051403804, 0.06134840101003647, 0.061362940818071365]","[-0.13462521135807037, -0.1307801753282547, -0.12886418402194977, -0.13601751625537872, -0.1326073706150055, -0.13478827476501465]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7887251217994933, -17.998351492683025, -11.55864265645921, -4.039357337804024, 4.120055227379284, -0.18772318943434382]",0.002,7,1
0,-1,"[0.058701757341623306, -1.5122122925570984, 0.0586321989642542, 0.05879883348431392, 0.058758821338415146, 0.05872257426381111]","[-0.15246456861495972, -0.14996185898780823, -0.14849555492401123, -0.15157829225063324, -0.15179088711738586, -0.15321186184883118]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7720884573516125, -17.745056529506265, -11.428328077401295, -4.036077002139482, 4.121865744887961, -0.1878222417159274]",0.002,7,1
0,-1,"[0.05546513944864273, -1.5154002469829102, 0.05545217195619756, 0.05557553350415034, 0.05540549382567406, 0.05536783114075661]","[-0.17092275619506836, -0.17119160294532776, -0.16859127581119537, -0.1737956404685974, -0.17163744568824768, -0.17233701050281525]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7522503042206097, -17.423757543953293, -11.260656832896164, -4.031898341424263, 4.123901204717695, -0.18795250575825537]",0.002,7,1
0,-1,"[0.04936567321419716, -1.5214183677783986, 0.049425903950826466, 0.0494726139255981, 0.04933641105890274, 0.049274083226919174]","[-0.20351189374923706, -0.20381160080432892, -0.20556052029132843, -0.20930199325084686, -0.20631276071071625, -0.20317932963371277]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7184682931531716, -16.818919462867775, -10.943419699002003, -4.024644863778604, 4.12711806855971, -0.1882136299475789]",0.002,7,1
0,-1,"[0.04765547811985016, -1.5230226044407864, 0.04777747789491826, 0.04775063573803706, 0.04769911989569664, 0.04758136719465256]","[-0.21296630799770355, -0.21252630650997162, -0.21442033350467682, -0.22038443386554718, -0.21484507620334625, -0.21089774370193481]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.7099730343437738, -16.655468785627384, -10.858167604307084, -4.022542198464966, 4.127753041664734, -0.18828738055228586]",0.002,7,1
0,-1,"[0.04543137177824974, -1.525243566637375, 0.045600716267721, 0.045535607928893995, 0.045497260987758636, 0.04543463513255119]","[-0.22669275104999542, -0.2247651368379593, -0.22529155015945435, -0.22561177611351013, -0.22482004761695862, -0.22273142635822296]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-0.6993023757906884, -16.436561098000176, -10.743520284505307, -4.019841281100247, 4.128467341000408, -0.18838768164246245]",0.002,7,1
