arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.02049428621401006, -1.59118713955068, -0.02048155851662159, -0.02047760904345708, -0.020558659230367482, -0.020488564168111623]","[0.03334164246916771, 0.03629077225923538, 0.03427945822477341, 0.03453902155160904, 0.034741323441267014, 0.03597789630293846]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.019832436238424123, -1.5905100307860316, -0.019719157367944717, -0.019813017254211474, -0.01990396181215459, -0.019820515309469044]","[0.04951558634638786, 0.05184248834848404, 0.049405116587877274, 0.049197953194379807, 0.05107533559203148, 0.050218332558870316]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.019119087849752248, -1.589823385278219, -0.019082102924585342, -0.019133047466613817, -0.019149128590719044, -0.019140068684713185]","[0.061561837792396545, 0.06229877471923828, 0.06040554121136665, 0.06428474187850952, 0.06458784639835358, 0.06382521986961365]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.01847535768617803, -1.5891663036742152, -0.018406540155410767, -0.018465713863708544, -0.018553082142965138, -0.01849252382387334]","[0.07299736142158508, 0.07183462381362915, 0.07044467329978943, 0.07211412489414215, 0.0740981325507164, 0.07617735117673874]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.01783925691713506, -1.5885211429991664, -0.01782865636050701, -0.017809347515441942, -0.017822090779439748, -0.017850224171773732]","[0.08170249313116074, 0.08160853385925293, 0.0785393938422203, 0.08055223524570465, 0.08321397751569748, 0.0831059068441391]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.01695138612856084, -1.587747713128561, -0.01700449176132679, -0.016912893658020067, -0.016960922871724904, -0.01697093645204717]","[0.09072478115558624, 0.08939428627490997, 0.09052587300539017, 0.0888734981417656, 0.0914556235074997, 0.09282423555850983]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.015134636555806935, -1.5859281025328578, -0.01516742818057537, -0.015076832180358934, -0.015128914509908498, -0.015148941670553029]","[0.10862860083580017, 0.10875120013952255, 0.10929908603429794, 0.1060088500380516, 0.10850482434034348, 0.1088784784078598]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.013977829610006154, -1.5847927532591761, -0.014024795964360237, -0.01395316541705327, -0.013977829610006154, -0.01394826570619756]","[0.11958369612693787, 0.11735080182552338, 0.1183963268995285, 0.11825203895568848, 0.11920426785945892, 0.1204817146062851]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.011931721364156544, -1.5826970539488734, -0.012009655125439167, -0.011939243679382372, -0.011974636708394826, -0.01188975969423467]","[0.13338886201381683, 0.13500000536441803, 0.1332833170890808, 0.13565735518932343, 0.1355040967464447, 0.13373689353466034]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.010810677205220998, -1.5816189251341761, -0.01084019336849451, -0.010885195141174364, -0.010828320180074513, -0.010772530232564748]","[0.1418484002351761, 0.1433754563331604, 0.14329542219638824, 0.14230503141880035, 0.14425237476825714, 0.14098814129829407]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
