arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.008977238331929982, -1.5797506771483363, -0.008975239470601082, -0.009031133060791063, -0.008983914052144826, -0.008959595357076466]","[0.031049709767103195, 0.030301528051495552, 0.02907261811196804, 0.03081454150378704, 0.02934475615620613, 0.030656510964035988]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.008289639149801076, -1.5790258846678675, -0.008360852487385273, -0.008461670284606981, -0.008341614400045216, -0.00839549699892217]","[0.045544009655714035, 0.04715890809893608, 0.045138727873563766, 0.04901115968823433, 0.045289766043424606, 0.04381323978304863]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.007566277180806935, -1.5783034763731898, -0.007676186505705118, -0.007650093441345263, -0.007621590291158498, -0.007618729268209279]","[0.059253182262182236, 0.05919814482331276, 0.05859785154461861, 0.06187713146209717, 0.05950536951422691, 0.05794615298509598]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.006490532551900685, -1.5771500072874964, -0.006555392872542143, -0.00659842908892827, -0.006514374409810841, -0.006534401570455373]","[0.07651784271001816, 0.07388677448034286, 0.07543139159679413, 0.07847931236028671, 0.07606074213981628, 0.07585716992616653]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.005895916615621388, -1.5766126118102015, -0.005977810826152563, -0.005910472278930712, -0.005799118672506154, -0.005907837544576466]","[0.08496903628110886, 0.0828736275434494, 0.08537440747022629, 0.09102609008550644, 0.08932919055223465, 0.08793335407972336]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.004563156758443654, -1.5753113232054652, -0.004683110397309065, -0.004627541904785204, -0.004466835652486623, -0.004456345235006154]","[0.09803546965122223, 0.09403111040592194, 0.09739421308040619, 0.10215939581394196, 0.09773711115121841, 0.09895223379135132]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.003239456807271779, -1.573998590508932, -0.0033618395682424307, -0.0032289785197754384, -0.0030811468707483414, -0.0030697027789514664]","[0.07592727988958359, 0.08862628787755966, 0.08377029746770859, 0.0821278765797615, 0.07840991020202637, 0.07766077667474747]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0019872824298303726, -1.572648664514059, -0.002017892664298415, -0.0019435447505493642, -0.0018270651446741226, -0.0018733183490198257]","[0.06013987958431244, 0.0642554759979248, 0.06508327275514603, 0.06126074865460396, 0.061940956860780716, 0.06040167436003685]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.001355473195211232, -1.5719152889647425, -0.0013331995578482747, -0.001231388454772997, -0.0011165777789514664, -0.0011661688434045914]","[0.048281580209732056, 0.04930789768695831, 0.05167260020971298, 0.05015871301293373, 0.05143478512763977, 0.04804084822535515]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0008209387408655289, -1.5714742145934046, -0.0007492885342799127, -0.0007315439036865712, -0.000665012990133107, -0.0006745497332971695]","[0.038916707038879395, 0.03948630020022392, 0.04059496521949768, 0.03803834691643715, 0.0369076132774353, 0.03709883615374565]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
