arm_idx,step,actual_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.001966301594869435, -1.5727611980833949, -0.0019502753857523203, -0.002014951114990282, -0.0019515196429651382, -0.0019033590899866226]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0006454626666467789, -1.5714441738524378, -0.0006437260890379548, -0.0006616872600098134, -0.0005644003497522476, -0.000630680714742482]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.000226322804586232, -1.5710765324034632, -0.0002986931649502367, -0.0002544683269043446, -0.0002167860614221695, -0.00019437471498662262]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-6.41981707971695e-05, -1.570916315118307, -0.00010199785174336284, -0.00010939062152104384, -6.977711812794496e-06, -7.56422625940445e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-8.279481996709137e-05, -1.5709344349303187, -0.00016380861052311957, -3.107011828618056e-05, -8.374849428349762e-05, -4.464784731084137e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00016433397401982575, -1.5709225140013636, -0.00016382061585318297, -0.0001019996455688954, -8.994737734013825e-05, -9.757677187138825e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-9.328523744756012e-05, -1.5710631809630335, -0.0001950446458067745, -4.561365161137587e-05, -7.325807680302887e-05, -7.56422625940445e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00010520616640263825, -1.571066518823141, -0.0002448284940328449, -0.00011845052752690322, -0.000115696583883107, -7.611909975224762e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-9.328523744756012e-05, -1.570949216882223, -0.00021200565970502794, -3.560007128911025e-05, -4.1309987203419496e-05, -8.5179005758107e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0001099745379846695, -1.5710321865477503, -0.00018137267034035176, -7.303178820805556e-05, 4.76837158203125e-06, -3.0819569722950746e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-9.614626039677887e-05, -1.57096590618276, -0.00021197533351369202, -9.293973956303603e-05, -2.557436098271637e-05, -1.4607106344044496e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.000100437794820607, -1.5710231266417445, -0.00024491953081451356, -2.654016528325087e-05, -1.732503072560121e-06, -1.1746083394825746e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
