arm_idx,step,actual_q,actual_qd,target_q,expected_q,applied_torque,loop_time,robot_mode,safety_mode
0,-1,"[0.0007974465843290091, -1.5699396467865263, 0.0007432142840784195, 0.0009204584309081554, 0.0008794100140221417, 0.000805480929557234]","[-0.03857554867863655, -0.03592093288898468, -0.03836404159665108, -0.034280743449926376, -0.0338328592479229, -0.034464769065380096]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-1.296168910634396, -8.35083391874409, -5.707900826325259, -2.1027275043420346, 0.3574745037888536, -0.23268236771306045]",0.002,7,1
0,-1,"[0.00027563321054913104, -1.5704241669194126, 0.0002206007586877945, 0.00033180295910639757, 0.0003788293106481433, 0.0003509609086904675]","[-0.030824879184365273, -4.002363493782468e-05, -0.02002531848847866, -0.02535957098007202, -0.02342281863093376, -0.023002516478300095]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.2971156239993509, 4.592166036488007, 2.0078360797599775, -1.550369610876138, 0.7651061763969959, 0.23268976552713594]",0.002,7,1
0,-1,"[3.962544724345207e-05, -1.5706268972902144, -9.059906005859375e-06, 0.00015024721112055772, 0.00019860267639160156, 0.0001621198171051219]","[-0.016121193766593933, -0.03927113860845566, -0.025752553716301918, -0.018275368958711624, -0.018979385495185852, -0.01823793351650238]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.296775689755464, 4.606705360077857, 2.0143444165455655, -1.5505057902515622, 0.7651559323400238, 0.2326870430727966]",0.002,7,1
0,-1,"[1.6239999240497127e-05, -1.5707774557598277, -0.00011567510955501348, 4.3793315551710066e-05, 6.920970918145031e-05, 4.687309410655871e-05]","[-0.01052047498524189, -0.017077555879950523, -0.014348139055073261, -0.013351095840334892, -0.010535313747823238, -0.010917440056800842]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.2964704979213806, 4.6259496695494144, 2.022772485374007, -1.5505517724834978, 0.7651780720782007, 0.2326851606981086]",0.002,7,1
0,-1,"[-1.9375477926075746e-05, -1.570918699304098, -0.00017294407007284462, 4.832326855463975e-05, 6.31921284366399e-05, 7.640209514647722e-05]","[0.006241367198526859, 0.0072866398841142654, 0.005778348073363304, 0.005984744988381863, 0.009161131456494331, 0.006707141175866127]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.4200146275685398, 0.27099667233688357, -0.5757852007871803, -1.7374245349086377, 0.6274536312722283, 0.07538902352258435]",0.002,7,1
0,-1,"[2.8115957320551388e-05, -1.5708710155882777, -0.00014124040899332613, 7.502614941401475e-05, 0.0001114935876103118, 6.318092346191406e-05]","[0.004281480330973864, -0.0071971723809838295, -0.0025407420471310616, 0.0012045592302456498, 0.0007654429064132273, 0.001230426598340273]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[2.2989970351414666e-19, -1.8248583269443996, -1.8255413631287833, -1.826974665952731, 0.5614385150007901, 0.0]",0.002,7,1
0,-1,"[2.3585951566928998e-05, -1.5707337983879661, -3.909150109393522e-05, 5.571424450678819e-05, 9.520060120848939e-05, 5.879717355128378e-05]","[0.00025991606526076794, 0.003307442646473646, 0.003916630987077951, -1.8061830360238673e-06, -0.0002335676981601864, 0.00042045817826874554]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[4.566652196873299e-20, -1.8260608883506617, -1.8255624384209033, -1.8269746662795245, 0.5614385150328753, 0.0]",0.002,7,1
0,-1,"[1.1595696378208231e-05, -1.5706268972902144, 6.024037496388246e-06, 6.477415051264757e-05, 3.6588193324860185e-05, 5.880594108020887e-05]","[-0.00012072180106770247, 0.002759967464953661, 0.0010053192963823676, 5.92710875935154e-07, -0.0005437174695543945, -8.993039227789268e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[1.3163183581497752e-20, -1.833131785508302, -1.8284700364152553, -1.8269746571574554, 0.5614385110543283, 0.0]",0.002,7,1
0,-1,"[-5.132356752568512e-05, -1.57060625970583, -1.1972360880463384e-05, 5.11842915038585e-05, 6.18815392954275e-05, 1.8300417650607415e-05]","[-1.8952958313889212e-08, 0.0014562822179868817, 0.0005250201793387532, 1.0772239870948663e-11, -0.0007639747345820069, -0.0001499667123425752]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-2.31233635649465e-19, -1.8401318654108256, -1.8312270619556497, -1.8269745898367882, 0.5614384820208049, 0.0]",0.002,7,1
0,-1,"[-9.361897603810121e-06, -1.5706749058557143, -1.935720501933247e-05, 2.2812480590772566e-05, 8.699893805896863e-05, 3.058910442632623e-05]","[-1.1052757618130292e-19, 1.8082876351854793e-07, 0.0002221451431978494, -0.00039647906669415534, -0.0007375740678980947, -0.0004258076078258455]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[-3.216331545668766e-20, -1.8357412201778749, -1.8295486175189277, -1.8269746413909163, 0.5614385067467287, 0.0]",0.002,7,1
