arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.08890488743782043, -1.493464933042862, 0.08096534410585576, 0.0782053905674438, 0.0750214159488678, 0.0825282409787178]","[-0.04706548526883125, -0.040234342217445374, -0.0426379069685936, -0.03994419053196907, -0.038559962064027786, -0.04144633933901787]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08811481297016144, -1.4942168977907677, 0.08019620576967412, 0.07742778837170405, 0.07434778660535812, 0.08170691132545471]","[-0.06250208616256714, -0.05395221337676048, -0.05597773939371109, -0.055619433522224426, -0.05298856645822525, -0.05604339390993118]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08757880330085754, -1.4946388465217133, 0.0797656218158167, 0.07698802530255122, 0.0738796517252922, 0.08124052733182907]","[-0.0697338879108429, -0.060134705156087875, -0.06301884353160858, -0.06178520619869232, -0.05908752605319023, -0.06521845608949661]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08672939985990524, -1.4953156125596543, 0.07906943956484014, 0.07625703393902583, 0.07327613234519958, 0.08050321042537689]","[-0.0793059691786766, -0.06787862628698349, -0.07332798093557358, -0.07147427648305893, -0.06967542320489883, -0.07550950348377228]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08584263920783997, -1.4960176435163994, 0.0782402197467249, 0.07544390737499995, 0.07257896661758423, 0.07962694019079208]","[-0.09039321541786194, -0.07690612226724625, -0.08238127827644348, -0.07973455637693405, -0.0776037722826004, -0.08506320416927338]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08426510542631149, -1.4973736491850396, 0.07682401338686162, 0.07407526552166743, 0.07113655656576157, 0.07818910479545593]","[-0.10735422372817993, -0.09290167689323425, -0.09766989201307297, -0.09212633967399597, -0.09458912163972855, -0.09840463846921921]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08337929844856262, -1.4981649455479165, 0.07602006593813115, 0.07328252374615474, 0.07042375206947327, 0.07738518714904785]","[-0.11431138217449188, -0.09980978816747665, -0.10378677397966385, -0.09891583025455475, -0.0999140590429306, -0.10557430237531662]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08212621510028839, -1.4992049571922799, 0.0748665968524378, 0.07214300214733882, 0.06945561617612839, 0.07620472460985184]","[-0.12503275275230408, -0.11091551184654236, -0.11494791507720947, -0.10776367038488388, -0.106498584151268, -0.11402344703674316]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.08023276925086975, -1.5008485701731225, 0.07316095033754522, 0.07045678674664302, 0.06776287406682968, 0.07460687309503555]","[-0.13866084814071655, -0.12140101194381714, -0.1265583336353302, -0.11816726624965668, -0.11715540289878845, -0.12786135077476501]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07850763946771622, -1.5023832705667992, 0.07157355943788701, 0.06893972932781978, 0.0663207471370697, 0.07292257249355316]","[-0.1496022492647171, -0.13140106201171875, -0.1403995007276535, -0.13106770813465118, -0.13015678524971008, -0.14094758033752441]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07559442520141602, -1.504938082104065, 0.06887180009950811, 0.06645135461773677, 0.06383019685745239, 0.07026377320289612]","[-0.16772732138633728, -0.14739835262298584, -0.15372128784656525, -0.14366641640663147, -0.14425376057624817, -0.15843266248703003]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07236310839653015, -1.5076793146184464, 0.06602937379945928, 0.06366650640454097, 0.061080072075128555, 0.06734538078308105]","[-0.18591900169849396, -0.1632651686668396, -0.16957437992095947, -0.15761113166809082, -0.15740075707435608, -0.1741817444562912]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.07003574818372726, -1.5096326147070904, 0.06390077272524053, 0.061586304301879835, 0.059091199189424515, 0.0651378184556961]","[-0.1980624943971634, -0.1710911989212036, -0.17895808815956116, -0.17303316295146942, -0.16797974705696106, -0.18604561686515808]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06758111715316772, -1.511836727415659, 0.06158334413637334, 0.05942527830090327, 0.0570179782807827, 0.06280270218849182]","[-0.2097434401512146, -0.18159571290016174, -0.19006609916687012, -0.18038517236709595, -0.17398084700107574, -0.19826756417751312]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.06359294056892395, -1.5153343056193371, 0.058066670094625294, 0.05609576284374995, 0.053728137165308, 0.05915850028395653]","[-0.22664296627044678, -0.19925415515899658, -0.20631606876850128, -0.20058414340019226, -0.18931697309017181, -0.2111038714647293]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.05981546640396118, -1.5186240908554574, 0.05457193056215459, 0.05287007867779536, 0.05055001378059387, 0.05556775629520416]","[-0.24144220352172852, -0.21027924120426178, -0.22228747606277466, -0.21778486669063568, -0.20435671508312225, -0.22673846781253815]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.05788448825478554, -1.5203624454191704, 0.05277139345277959, 0.05115787565197749, 0.04887549579143524, 0.053634725511074066]","[-0.2504837214946747, -0.21802325546741486, -0.22865068912506104, -0.2284439206123352, -0.21225105226039886, -0.23269979655742645]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.05584752559661865, -1.5221699339202424, 0.05092746416200811, 0.04928211748089595, 0.04716736078262329, 0.051752906292676926]","[-0.2587069272994995, -0.22601376473903656, -0.23681479692459106, -0.23635292053222656, -0.2206498384475708, -0.2401413470506668]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
