arm_idx,step,actual_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.29340807646438105, -1.2777515520646414, 0.29801145088810654, 0.28411977554255824, 0.29423758166667896, 0.30375510011924317]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.29283405272122376, -1.27832486504406, 0.29742842110036555, 0.2835639234370974, 0.2936619350790283, 0.3031608334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.2921231236069702, -1.2790349138765462, 0.29670633798878143, 0.2828754999185549, 0.29294899606986713, 0.3024248334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.29102775184669355, -1.280128929333122, 0.29559378058587876, 0.28181480389949615, 0.29185052754216495, 0.30129083345257646]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.2897913533871221, -1.2813637968678808, 0.29433798387008026, 0.28061754560637875, 0.29061063361318895, 0.30001083345257645]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.2890804242728685, -1.282073845700367, 0.29361590075849614, 0.2799291220878362, 0.2898976946040277, 0.2992748334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.2874731062754256, -1.2836791734955542, 0.2919833650279582, 0.2783726863067836, 0.2882858324963589, 0.2976108334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.28586385640538964, -1.2852864307712641, 0.29034886711505176, 0.27681437980964796, 0.28667203305442607, 0.2959448334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.28433381331166996, -1.2868145793455277, 0.28879481867925116, 0.27533277267191514, 0.28513766431731824, 0.29436083345257646]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.28323650967880026, -1.2879105242826263, 0.28768029909398, 0.2742702059367734, 0.28403725845535205, 0.2932248334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.28177794587102456, -1.2893672820775377, 0.2861988514058115, 0.2728578152941115, 0.28257457108601314, 0.2917148334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.2799001657105504, -1.2912427371459536, 0.28429161014369264, 0.2710394792614394, 0.28069148218138085, 0.2897708334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.27753362178402685, -1.2936063507867033, 0.2818879367423596, 0.26874785205976937, 0.2783182477079502, 0.2873208334525765]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.2757273209094967, -1.2954104150757644, 0.28005329622787284, 0.26699873252216816, 0.27650684017108684, 0.28545083345257644]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.27263632476056804, -1.2984975839126625, 0.2769138044383767, 0.2640055867893746, 0.27340710534864676, 0.28225083345257646]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.269728856507982, -1.301401452099869, 0.2739607199738819, 0.2611901590844657, 0.2704914172812891, 0.27924083345257644]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.26617421093671406, -1.3049516962623011, 0.2703503044159613, 0.2577480414917531, 0.26692672223548314, 0.2755608334525764]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.26286104943958116, -1.3082607553593508, 0.26698516165409514, 0.25453976340941503, 0.2636041939726802, 0.27213083345257644]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.25987051066549266, -1.3112475912090495, 0.26394770334775763, 0.25164389491293726, 0.2606052005319695, 0.26903483345257645]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.25779954324571047, -1.3133159943297708, 0.26184424384879523, 0.24963848727196558, 0.25852837820093466, 0.2668908334525764]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
