arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.03971463838686162, -1.6104322872557582, -0.03971191123127937, -0.03983672082934575, -0.03975421587099248, -0.03970081010927373]","[0.03279338404536247, 0.03365132957696915, 0.031052472069859505, 0.03398085758090019, 0.031149670481681824, 0.030596138909459114]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.039089504872457326, -1.6097566090025843, -0.039181970059871674, -0.03916163862261968, -0.03907949129213506, -0.03906566301454717]","[0.04707925021648407, 0.05107757821679115, 0.04707461595535278, 0.05011085793375969, 0.0474654957652092, 0.04767180606722832]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.038307968770162404, -1.6089321575560511, -0.03833622485399246, -0.03844650209460454, -0.03835517564882451, -0.03828746477235967]","[0.06371933221817017, 0.06289459764957428, 0.060641832649707794, 0.06503450870513916, 0.06153940409421921, 0.06167403236031532]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.03780109087099248, -1.608438631097311, -0.037833329290151596, -0.03790052354846196, -0.03782111803163701, -0.037810627614156544]","[0.06943973898887634, 0.06981609761714935, 0.06906937062740326, 0.07463359832763672, 0.07072377949953079, 0.0697736069560051]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.03724891344179326, -1.6078492603697718, -0.0372522734105587, -0.03725369394335942, -0.037119690571920216, -0.03712779680360967]","[0.07655424624681473, 0.07570335268974304, 0.07608652859926224, 0.08126851916313171, 0.08134230971336365, 0.07853852957487106]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.03640920320619756, -1.6070381603636683, -0.03637636452913284, -0.03641517580065923, -0.03629047075380498, -0.036281887684957326]","[0.08871941268444061, 0.0862869918346405, 0.087821826338768, 0.0894356369972229, 0.08853457868099213, 0.08990251272916794]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.03457004228700811, -1.6053039036192835, -0.034633006900548935, -0.03462298334155278, -0.03437406221498662, -0.03442746797670537]","[0.10740485042333603, 0.1018214076757431, 0.10573810338973999, 0.10859514772891998, 0.10559049993753433, 0.10520259290933609]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.033459011708394826, -1.6041714153685511, -0.03350213170051575, -0.03346736848864751, -0.03328305879701787, -0.03336650529970342]","[0.1164940744638443, 0.11446518450975418, 0.11842166632413864, 0.12102513015270233, 0.11424095928668976, 0.11390591412782669]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.03149921098817998, -1.6020871601500453, -0.03143427148461342, -0.0314362806132813, -0.031278435383931935, -0.031316582356588185]","[0.13300025463104248, 0.12982790172100067, 0.1323927640914917, 0.13324597477912903, 0.1301194727420807, 0.12983295321464539]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.028908554707662404, -1.5995861492552699, -0.028901156038045883, -0.028800920849182177, -0.028775517140523732, -0.02878266969789678]","[0.14935435354709625, 0.14807014167308807, 0.14962369203567505, 0.1496240645647049, 0.14625129103660583, 0.14767250418663025]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
