arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.02945885993540287, -1.5413924504867573, 0.029375378285543263, 0.029578133220336866, 0.029622582718729973, 0.029564369469881058]","[-0.04822201654314995, -0.049227699637413025, -0.0494527630507946, -0.045303136110305786, -0.04551519826054573, -0.04526333883404732]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.0285878274589777, -1.5423164379647751, 0.02850228944887334, 0.028729482288024855, 0.028770117089152336, 0.028691714629530907]","[-0.0621805302798748, -0.06289505958557129, -0.06368368119001389, -0.063139908015728, -0.06195453181862831, -0.06209206208586693]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02745785191655159, -1.5434744370034714, 0.027366463338033498, 0.027681513423583937, 0.0275870393961668, 0.027570048347115517]","[-0.07781361788511276, -0.07708544284105301, -0.07777657359838486, -0.08028218150138855, -0.07766339182853699, -0.07809187471866608]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.026411591097712517, -1.5445018459907551, 0.0263751188861292, 0.026536985034606886, 0.026524409651756287, 0.026502419263124466]","[-0.09106048941612244, -0.08764372766017914, -0.08917949348688126, -0.09241057187318802, -0.09081946313381195, -0.09013040363788605]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.025229157879948616, -1.545638834392168, 0.02511912981142217, 0.025402827853820753, 0.025275690481066704, 0.025293685495853424]","[-0.10103953629732132, -0.09951071441173553, -0.10177796334028244, -0.1037006676197052, -0.10276009887456894, -0.10334374755620956]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02145625464618206, -1.549480040823557, 0.02139598528017217, 0.021649761790893507, 0.021482104435563087, 0.021417781710624695]","[-0.1342635601758957, -0.13028836250305176, -0.13236616551876068, -0.13557811081409454, -0.1355140060186386, -0.132515087723732]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.019186824560165405, -1.5517913003316899, 0.019151989613668263, 0.019264979953430128, 0.019153941422700882, 0.019160090014338493]","[-0.15109145641326904, -0.1468115746974945, -0.14721491932868958, -0.15424513816833496, -0.14919798076152802, -0.1465078890323639]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.017258696258068085, -1.5536407598159094, 0.017258946095601857, 0.017429156894348097, 0.01727401651442051, 0.017304202541708946]","[-0.16085468232631683, -0.1594807654619217, -0.1597587913274765, -0.16726458072662354, -0.16244010627269745, -0.16018572449684143]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.014219777658581734, -1.5564949030852695, 0.01430064836610967, 0.01428787290539546, 0.014301289804279804, 0.014224277809262276]","[-0.17222219705581665, -0.1307494342327118, -0.15271778404712677, -0.16803760826587677, -0.1711530238389969, -0.1673240065574646]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.009916098788380623, -1.5606112343123932, 0.010002915059224904, 0.009917064304016066, 0.009992714039981365, 0.010009120218455791]","[-0.13945235311985016, -0.1412365734577179, -0.1413998156785965, -0.13905473053455353, -0.14408628642559052, -0.14227670431137085]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
