arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.009603802357808888, -1.5804211101927699, -0.009667850099503994, -0.009684161548950243, -0.009661499653951466, -0.009626690541402638]","[0.03509771451354027, 0.03133060038089752, 0.033412735909223557, 0.03326677903532982, 0.03136521205306053, 0.03363513946533203]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.009003941212789357, -1.5797473392882289, -0.008949548937380314, -0.009103135471679735, -0.009039227162496388, -0.009007279072896779]","[0.04720815643668175, 0.04906439036130905, 0.046473633497953415, 0.050291165709495544, 0.04885471984744072, 0.04828591272234917]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.008454624806539357, -1.579160829583639, -0.008442002348601818, -0.008573965435363817, -0.008416000996724904, -0.008449379597799123]","[0.05679800361394882, 0.05777325481176376, 0.05740349739789963, 0.05835062265396118, 0.058904167264699936, 0.05779927223920822]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.007542435322896779, -1.5782987080016078, -0.007613334339112043, -0.0076252979091187, -0.0075638929950159195, -0.007537666951314748]","[0.07037752121686935, 0.06932258605957031, 0.0699816569685936, 0.07494562119245529, 0.07180147618055344, 0.0709192156791687]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.006258312855855763, -1.577029367486471, -0.006258666515350342, -0.006289438610412645, -0.006168190632955373, -0.006165329610006154]","[0.08904533833265305, 0.08600673824548721, 0.08652479946613312, 0.0931917056441307, 0.09146563708782196, 0.08992046117782593]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0054696241961877945, -1.5762931309142054, -0.005533632822334766, -0.005526141529418993, -0.00541097322572881, -0.005396668110982716]","[0.09959270060062408, 0.09661635756492615, 0.09513000398874283, 0.09938546270132065, 0.09912165999412537, 0.09755895286798477]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.004281345997945607, -1.5751415691771449, -0.004311096854507923, -0.004327372913696337, -0.004206482564107716, -0.004206005726949513]","[0.09745173901319504, 0.054422684013843536, 0.0765167623758316, 0.08991891890764236, 0.09064820408821106, 0.09039252996444702]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0028832594500940445, -1.5735770664610804, -0.002887669252231717, -0.002864078884460497, -0.002739731465474904, -0.0027611891375940445]","[0.07475302368402481, 0.07906326651573181, 0.08104021102190018, 0.08107206225395203, 0.07125353813171387, 0.07346823811531067]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.002065483723775685, -1.5727430782713832, -0.0019807666540145874, -0.0019983810237427235, -0.0018861929522913101, -0.0018838087665002945]","[0.06312359124422073, 0.0653902217745781, 0.06702694296836853, 0.06540938466787338, 0.06329488754272461, 0.06391404569149017]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0011981169330042007, -1.5719014606871546, -0.0010976225603371859, -0.001063541775085497, -0.0010831991778772476, -0.0010460058795374039]","[0.048428189009428024, 0.04900317266583443, 0.04831191152334213, 0.049359504133462906, 0.04471956565976143, 0.04597803205251694]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0008218924151819351, -1.5715071163573207, -0.0008106796885840595, -0.0007761281779785634, -0.0006402174579065445, -0.0007270018206995132]","[0.039543166756629944, 0.03857932984828949, 0.03989480808377266, 0.039223022758960724, 0.03919804468750954, 0.037133511155843735]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00044709840883427887, -1.571111341516012, -0.00039802794344723225, -0.00038130701098637587, -0.000371281300679982, -0.0003355185138147476]","[0.027906794100999832, 0.026689060032367706, 0.02827632986009121, 0.02782532200217247, 0.025472491979599, 0.026367181912064552]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00018769899477177887, -1.5709883175291957, -0.00017570859927218407, -0.00013406694445805556, -0.00017244020570927887, -0.0001404921161096695]","[0.016564667224884033, 0.015471966937184334, 0.015424705110490322, 0.016690941527485847, 0.01466294564306736, 0.014556806534528732]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0001862684832971695, -1.5709315739073695, -5.84721565246582e-05, -7.756174121098525e-05, -3.701845277959137e-05, -0.00012284914125615387]","[-0.003740261774510145, -0.005666450597345829, -0.0060584633611142635, -0.006521075498312712, -0.008176942355930805, -0.005561895202845335]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00013143221010381012, -1.570874353448385, -0.00016532785957679152, -3.369272265629775e-05, -4.0356312887013246e-05, -3.987947572881012e-05]","[-0.0005080198752693832, 0.0022968437988311052, 4.060364062752342e-07, -4.8430184307335367e-08, -0.0006048287032172084, -1.8584916688269004e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
