arm_idx,step,actual_q,actual_qd,target_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[0.022002961486577988, -1.5489008215120812, 0.022003952656881154, 0.022011323566101026, 0.022054636850953102, 0.021974710747599602]","[-0.036601994186639786, -0.03811674565076828, -0.036341361701488495, -0.033751241862773895, -0.03189131245017052, -0.03370252251625061]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.02133101224899292, -1.5496055123260994, 0.021360222493306935, 0.02141503869976802, 0.021496295928955078, 0.02135687880218029]","[-0.05059368908405304, -0.05538000911474228, -0.05076935142278671, -0.04981778562068939, -0.050050731748342514, -0.04985266923904419]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.020661883056163788, -1.5503584251603861, 0.020613018666402638, 0.02076522886242671, 0.020835857838392258, 0.020682482048869133]","[-0.0638498067855835, -0.06483013182878494, -0.06223554536700249, -0.06562202423810959, -0.06187386065721512, -0.05982991307973862]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.019829977303743362, -1.551264588986971, 0.01977712312807256, 0.019916220302246046, 0.019942831248044968, 0.019907383248209953]","[-0.0731266438961029, -0.07210520654916763, -0.07268690317869186, -0.07611127197742462, -0.0761735811829567, -0.07360845804214478]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.01888827420771122, -1.5521581091782828, 0.01881105104555303, 0.018907113666198683, 0.018984274938702583, 0.018910227343440056]","[-0.08567832410335541, -0.08394079655408859, -0.08567937463521957, -0.08864057809114456, -0.08895068615674973, -0.08617239445447922]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.015482193790376186, -1.5553802086836477, 0.015522782002584279, 0.015611811275146437, 0.015595465898513794, 0.01551420334726572]","[-0.11773443967103958, -0.11302714794874191, -0.1182137280702591, -0.1186852976679802, -0.12105225026607513, -0.11884291470050812]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.01317619625478983, -1.5576633552885433, 0.013219181691304982, 0.013257666225097609, 0.013224021531641483, 0.013205431401729584]","[-0.1356223076581955, -0.13170354068279266, -0.13778740167617798, -0.1369439959526062, -0.13678927719593048, -0.13521665334701538]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.010843425057828426, -1.559956575078406, 0.010959927235738576, 0.010939283961914015, 0.010961269028484821, 0.010935704223811626]","[-0.14788249135017395, -0.14258408546447754, -0.1476346105337143, -0.15005911886692047, -0.15323632955551147, -0.15189839899539948]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.007685988210141659, -1.5629723279601713, 0.007721249257222951, 0.0076004701801757335, 0.007760160602629185, 0.007734064944088459]","[-0.12265234440565109, -0.12696082890033722, -0.12521806359291077, -0.12630188465118408, -0.12757869064807892, -0.12640565633773804]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[0.005586016457527876, -1.5649956593154748, 0.005636040364400685, 0.005575342769287062, 0.005692488048225641, 0.005657549016177654]","[-0.10597164183855057, -0.10752661526203156, -0.10914721339941025, -0.10311561077833176, -0.10596130788326263, -0.10865547508001328]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
