arm_idx,step,actual_q,actual_qd,target_q,expected_q,applied_torque,loop_time,robot_mode,safety_mode
0,-1,"[-1.4130269185841371e-05, -1.5691707891276856, 0.007380310689107716, 6.175004946976461, -0.00230580965151006, 0.0013977050548419356]","[0.0, 0.0, -0.0, -0.04112803563475609, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.003443874754416374, -2.093824353598212, -2.0187861774793108, -2.051702690180764, 0.5644423657616323, -0.005268019388266135]",0.002,7,1
0,-1,"[4.758584327646531e-05, -1.5691708253328507, 0.007416550313131154, 6.174206125527181, -0.00230580965151006, 0.0014139802660793066]","[0.0, 0.0, -0.0, -0.05732056125998497, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.003517283916972057, -2.0907214690688956, -2.017049046584602, -2.0515546640723423, 0.5643954275858264, -0.00526801866141667]",0.002,7,1
0,-1,"[-4.7032033101856996e-05, -1.5691496371622016, 0.00737935701479131, 6.17369698265151, -0.00229818025697881, 0.0014183521270751953]","[0.0, 0.0, -0.0, -0.0654778704047203, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.003560038575698221, -2.0931001650095906, -2.017823375396914, -2.0514793072797266, 0.5643722733967562, -0.005268018769468256]",0.002,7,1
0,-1,"[-2.3190175191700746e-05, -1.569166333796904, 0.007392708455220998, 6.173008668213644, -0.0022886435138147476, 0.0014139891136437654]","[0.0, 0.0, -0.0, -0.07643263041973114, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0036218914578873508, -2.0968454839382984, -2.0194685972233364, -2.0513669346161443, 0.564337740978907, -0.005268018924747946]",0.002,7,1
0,-1,"[5.468099516292568e-06, -1.569151424253807, 0.007396999989644826, 6.171830880432882, -0.0023387114154260757, 0.001479776343330741]","[0.0, 0.0, -0.0, -0.08984250575304031, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.003731382511481364, -2.0927228616009312, -2.0167512352769954, -2.051130899857239, 0.5642648828148897, -0.0052680190377187575]",0.002,7,1
0,-1,"[7.188778454292333e-06, -1.5691423638821398, 0.00742513338197881, 6.170873987465658, -0.002248112355367482, 0.001430255244486034]","[0.0, 0.0, -0.0, -0.09997878968715668, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.003814685820284071, -2.095340946015095, -2.0185359014841575, -2.0509732504813583, 0.5642151612368451, -0.005268018442639293]",0.002,7,1
0,-1,"[-6.500874654591371e-06, -1.569097090196312, 0.007420841847554982, 6.169520485192098, -0.0022853056537073257, 0.0014183521270751953]","[0.0, 0.0, -0.0, -0.11142981797456741, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.003934109263836044, -2.096798373854353, -2.0184249738221975, -2.050711683740553, 0.5641344099290133, -0.005268018558583975]",0.002,7,1
0,-1,"[-1.8421803609669496e-05, -1.5691210874686767, 0.007392708455220998, 6.167977678566732, -0.002297226582662404, 0.0014677841681987047]","[0.0, 0.0, -0.0, -0.12062089890241623, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0040632319277139435, -2.0936024411395486, -2.0176350079600742, -2.050440767865991, 0.5640514898178199, -0.005268019109900386]",0.002,7,1
0,-1,"[9.96828111965442e-06, -1.56911366948437, 0.007359806691304982, 6.166465389519491, -0.0023224989520471695, 0.001447208458557725]","[0.0, 0.0, -0.0, -0.13018710911273956, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.004205979645399703, -2.095126313652148, -2.0186017199603183, -2.0501339786981987, 0.5639565304466992, -0.005268019072718055]",0.002,7,1
0,-1,"[-6.500874654591371e-06, -1.5691377946971734, 0.00742513338197881, 6.164733159333029, -0.0023310820208948257, 0.0014426708221435547]","[0.0, 0.0, -0.0, -0.1438392549753189, 0.0, -0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]","[0.004360374131335745, -2.0944772051332796, -2.0179257062390916, -2.0498032244835502, 0.5638540147103591, -0.005268018945622037]",0.002,7,1
